,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,price_per_sqft
0,3,2.5,2590.0,1.0,6000.0,6000.0,98144,795000.0,30694980.694980696
1,4,2.0,2240.0,1.0,0.31,13503.6,98106,915000.0,40848214.28571428
2,4,3.0,2040.0,1.0,3783.0,3783.0,98107,950000.0,46568627.450980395
3,4,3.0,3800.0,1.0,5175.0,5175.0,98199,1950000.0,51315789.473684214
5,2,2.0,1190.0,1.0,1.0,43560.0,98107,740000.0,62184873.949579835
6,1,1.0,670.0,1.0,6000.0,6000.0,98133,460000.0,68656716.41791044
7,5,3.5,4510.0,1.0,6000.0,6000.0,98105,3150000.0,69844789.35698448
8,3,2.5,1520.0,1.0,741.0,741.0,98108,565000.0,37171052.631578945
9,4,2.0,2340.0,1.0,9500.0,9500.0,98178,699000.0,29871794.871794872
10,3,2.0,1320.0,1.0,1386.0,1386.0,98103,899000.0,68106060.60606061
11,3,2.0,1800.0,1.0,3993.0,3993.0,98177,1050000.0,58333333.333333336
12,3,2.5,2490.0,1.0,5757.0,5757.0,98103,935625.0,37575301.20481928
13,4,3.0,2650.0,1.0,6380.0,6380.0,98115,1511000.0,57018867.9245283
14,5,1.5,2560.0,1.0,5200.0,5200.0,98199,1330000.0,51953125.0
18,3,2.5,2974.0,1.0,3840.0,3840.0,98119,1750000.0,58843308.675184935
19,4,3.5,1989.0,1.0,1607.0,1607.0,98117,980000.0,49270990.44746104
20,2,2.0,1332.0,1.0,1101.0,1101.0,98199,845000.0,63438438.43843844
21,4,3.0,2668.0,1.0,5589.0,5589.0,98116,1213000.0,45464767.6161919
22,2,1.0,770.0,1.0,5250.0,5250.0,98133,530000.0,68831168.83116883
23,3,1.5,1280.0,1.0,9100.0,9100.0,98146,625000.0,48828125.0
24,5,3.5,3200.0,1.0,9260.0,9260.0,98133,1275000.0,39843750.0
25,2,1.5,889.0,1.0,0.23,10018.800000000001,98103,680000.0,76490438.6951631
27,3,2.0,3140.0,1.0,5000.0,5000.0,98117,1219700.0,38843949.04458599
28,4,2.0,2000.0,1.0,8077.0,8077.0,98125,907200.0,45360000.0
30,3,2.5,1690.0,1.0,1733.0,1733.0,98108,760000.0,44970414.20118343
31,4,5.5,3000.0,1.0,5520.0,5520.0,98126,1484000.0,49466666.666666664
32,3,3.0,1550.0,1.0,1400.0,1400.0,98115,950000.0,61290322.58064516
33,2,2.0,871.0,1.0,0.29,12632.4,98119,430000.0,49368541.905855335
34,4,1.5,1940.0,1.0,8778.0,8778.0,98118,520000.0,26804123.711340208
36,3,2.0,1770.0,1.0,3349.0,3349.0,98146,805000.0,45480225.98870057
37,5,5.0,2510.0,1.0,0.27,11761.2,98133,1000000.0,39840637.4501992
